gene,samples_ge_min_count,retained
ARHGAP4,6,True
ARHGAP5,6,True
ARHGAP8,6,True
ARHGAP9,6,True
ARHGDIB,6,True
ARHGEF1,6,True
ARHGEF10,6,True
ARHGEF10L,6,True
ARHGEF11,6,True
ARHGEF12,6,True
ARHGEF16,6,True
ARHGEF17,6,True
ARHGEF18,6,True
ARHGEF19,6,True
ARHGEF2,6,True
ARHGEF3,6,True
ARHGEF5,6,True
ARHGEF6,6,True
ARHGEF7,6,True
ARHGEF9,6,True
ARID1A,6,True
ARID1B,6,True
ARID2,6,True
ARID3A,6,True
ARID4A,6,True
ARID4B,6,True
ARID5A,6,True
ARID5B,6,True
ARIH1,6,True
ARIH2,6,True
ARL1,6,True
ARL10,6,True
ARL13B,6,True
ARL15,6,True
ARL16,6,True
ARL2,6,True
ARL2BP,6,True
ARL3,6,True
ARL4A,5,True
ARL4C,6,True
ARL4D,6,True
ARL5A,6,True
ARL5B,6,True
ARL6IP1,6,True
ARL6IP4,6,True
ARL6IP5,6,True
ARL8A,6,True
ARL8B,6,True
ARMC1,6,True
ARMC5,6,True
ARMC6,6,True
ARMC7,6,True
ARMC8,6,True
ARMC9,6,True
ARMCX1,5,True
ARMCX2,6,True
ARMCX3,6,True
ARMET,6,True
ARNT,6,True
ARNT2,6,True
ARNTL,6,True
ARNTL2,6,True
ARPC1A,6,True
ARPC1B,6,True
ARPC2,6,True
ARPC4,6,True
ARPC5,6,True
ARPC5L,6,True
ARPP-19,6,True
ARPP-21,4,True
ARRB1,6,True
ARRB2,6,True
ARRDC1,6,True
ARRDC2,6,True
ARRDC3,6,True
ARRDC4,6,True
ARS2,6,True
ARSA,6,True
ARSB,6,True
ARSD,6,True
ARSG,6,True
ARSI,6,True
ARSJ,6,True
ARV1,6,True
ASAH1,6,True
ASAM,6,True
ASAP1,6,True
ASAP2,6,True
ASAP3,6,True
ASB1,6,True
ASB2,6,True
ASB3,6,True
ASB5,5,True
ASB6,6,True
ASB7,6,True
ASB8,6,True
ASCC1,6,True
ASCC2,6,True
ASCC3,6,True
