gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,refseq,exons,direction
ABCA5,860.8678764239297,-1.7493548110388357,0.45434213910806226,-3.850302801481426,0.00011797188295367839,0.0018750568870065736,0.00011797188295367839,True,tested,NM_172232,39,down
ABCA6,350.66564261611137,-3.399550454681565,0.4591631942315088,-7.403795638218165,1.323460465845011e-13,1.418803638180376e-11,1.323460465845011e-13,True,tested,NM_080284,39,down
ABCA7,630.9133859833122,-1.1831708055133607,0.42108032407715834,-2.8098458604220076,0.0049565231845297,0.04126246638404836,0.0049565231845297,True,tested,NM_019112,47,down
ABCA8,386.78714353646154,-3.9921811355564496,0.4388237014676428,-9.097460146761964,9.246887503289508e-20,3.598066670724429e-17,9.246887503289508e-20,True,tested,NM_007168,38,down
ABCA9,217.33899049828696,-3.34378085359957,0.5464709245511464,-6.11886324299146,9.42452413923135e-10,4.853629931704146e-08,9.42452413923135e-10,True,tested,NM_080283,39,down
ABCB10,212.2618329660592,-0.13495014219847049,0.4493339230561782,-0.30033375018871716,0.7639225918603703,0.9224860151595067,0.7639225918603703,True,tested,NM_012089,13,not_significant
ABCB6,246.88689596191125,0.22112821131140759,0.46486996699639044,0.47567755934021133,0.634304110610266,0.8582097857142891,0.634304110610266,True,tested,NM_005689,19,not_significant
ABCB7,172.52881814827217,-0.2913224266188617,0.4925200820786043,-0.5914934988830928,0.5541898098178977,0.8185289548052083,0.5541898098178977,True,tested,NM_004299,16,not_significant
ABCB8,337.56099974828356,-0.24250755552182224,0.4324419567990424,-0.560786370769561,0.5749431789589685,0.8314319391800308,0.5749431789589685,True,tested,NM_007188,16,not_significant
ABCB9,99.18769870208315,0.5891184028701553,0.5531294535432594,1.0650642432731732,0.2868468588161729,0.6164068518557398,0.2868468588161729,True,tested,NM_019625,12,not_significant
ABCC1,3195.4388168574837,0.85184843892985,0.43350320421951033,1.9650337774631643,0.049410328251102496,0.2260909880688514,0.049410328251102496,True,tested,NM_004996,31,not_significant
