gene,_genewise_converged,_MAP_converged,_LFC_converged,dispersions,model_converged
ADPRHL1,True,True,True,0.4772142319333393,True
ADPRHL2,True,True,True,0.12748481287984728,True
ADRA2A,True,True,True,0.22298206500870804,True
ADRB2,True,True,True,0.1763416409187055,True
ADRBK1,True,True,True,0.13218818876373262,True
ADRBK2,True,True,True,0.20146362358427372,True
ADRM1,True,True,True,0.13043575912323035,True
ADSL,True,True,True,0.13056129050791732,True
ADSS,True,True,True,0.1278581595179161,True
ADSSL1,True,True,True,0.32380584293332854,True
AEBP1,True,True,True,0.13966970032944548,True
AEBP2,True,True,True,0.13374809217640682,True
AEN,True,True,True,0.1422261581603983,True
AES,True,True,True,0.10998604153417325,True
AFAP1,True,True,True,0.11824445839671253,True
AFAP1L1,True,True,True,0.23504846294748874,True
AFAP1L2,True,True,True,0.11745046130750171,True
AFF1,True,True,True,0.10746621228637875,True
AFF4,True,True,True,0.10728650760731676,True
AFG3L1,True,True,True,0.17129742492134745,True
AFG3L2,True,True,True,0.14891941237082193,True
AFMID,True,True,True,0.1444313578474539,True
AFTPH,True,True,True,0.11269977998093547,True
AGA,True,True,True,0.16221218514320535,True
AGAP1,True,True,True,0.12658476582389916,True
AGAP2,True,True,True,0.22395021283193636,True
AGAP3,True,True,True,0.13163115041951895,True
AGBL1,True,True,True,0.49759452078477845,True
AGBL5,True,True,True,0.15690515949800457,True
AGER,True,True,True,0.19794552323088221,True
AGFG1,True,True,True,0.10318157301578952,True
AGFG2,True,True,True,0.13374546702978352,True
AGGF1,True,True,True,0.14829993450037482,True
AGK,True,True,True,0.1616722538378708,True
AGL,True,True,True,0.12399966628792754,True
AGPAT1,True,True,True,0.14260472307283523,True
AGPAT2,True,True,True,0.13595415571609115,True
AGPAT3,True,True,True,0.10791490351796565,True
AGPAT4,True,True,True,0.1294157988996787,True
AGPAT5,True,True,True,0.1448294151765228,True
AGPAT6,True,True,True,0.11358997161198073,True
AGPAT9,True,True,True,0.22376377388802587,True
AGPS,True,True,True,0.11199726452699171,True
AGRN,True,True,True,0.10675000318329331,True
AGTPBP1,True,True,True,0.11772399042297349,True
AGTRAP,True,True,True,0.17018495365161357,True
AGXT2L2,True,True,True,0.18387816742377025,True
AHCTF1,True,True,True,0.1448067855324866,True
AHCY,True,True,True,0.11349816909209716,True
AHCYL1,True,True,True,0.11096949303014132,True
AHCYL2,True,True,True,0.15497666748880976,True
AHDC1,True,True,True,0.10554707165581606,True
AHI1,True,True,True,0.13182239940410173,True
AHNAK,True,True,True,0.10972821420986195,True
AHNAK2,True,True,True,0.12300150362091,True
AHR,True,True,True,0.12669694647358573,True
AHRR,True,True,True,0.21317536288455372,True
AHSA1,True,True,True,0.1278740397229405,True
AHSA2,True,True,True,0.11783225847864626,True
AIF1L,True,True,True,0.15762242981731134,True
