gene,stat
KRT17,4.159989111486585
PKMYT1,4.158306908263509
CA2,4.138180997495511
FBXO41,4.047174908658066
KIAA1804,4.024732509969761
TFCP2L1,4.014850170020254
ACP5,4.010609549470198
ITGA6,4.001939201394164
AKR1C1,3.9947731327350304
MPHOSPH6,3.993890678747248
ARSJ,3.982612674980581
GCLC,3.97923732216059
HSD17B1,3.9731623715167688
CEP55,3.9521902047275264
MFSD3,3.910712859682315
CLDN1,3.902564604481203
FAM83A,3.8810077131031986
KIAA1644,3.8732499405675416
B4GALNT3,3.8570944757228305
GPR172A,3.845277803787454
EPHB4,3.8451474090031095
TPBG,3.8417053672941726
MYO10,3.837902344061781
POSTN,3.829730802983529
CDSN,3.8259139996395586
FBXO2,3.817632216774984
IL8,3.8138150862398787
C6orf150,3.79515723664144
FBXO45,3.7893318046774036
ARHGEF16,3.7848978372350586
NQO1,3.7828841590979656
KDELR3,3.780636586620856
ITPR3,3.7762624435314116
ECE2,3.7684143892735937
CELSR1,3.7578381361444073
NOD2,3.757527412445448
RTN4R,3.754425557937299
TRIB3,3.7378333714565937
RNF152,3.731620387722946
SSFA2,3.729280603995645
ITGA2,3.7276491820048983
KCNK7,3.7217219286820393
PAQR4,3.704127104703826
DDR1,3.6994516494346508
TRIB1,3.688675926224052
MTSS1,3.6869205897297967
TMEM189,3.6822412642076485
UBE2C,3.680287284735369
PYGB,3.674065012201597
MYO1B,3.6727027751406274
LAPTM4B,3.6695224013722574
E2F7,3.658943203602614
F2RL1,3.658195097675816
NETO2,3.6536429924170135
COL7A1,3.6485512591017795
SLC6A2,3.6288866912629936
DNMT3B,3.6273550306050897
SERINC2,3.627170139889729
G6PD,3.621606072826491
MMP3,3.6172251952649153
FAM83H,3.6132380692207553
LRWD1,3.6071767505275822
LAMB3,3.6062677060672086
DUSP10,3.606080688258087
CDC6,3.6002897349805005
SLC7A5,3.598275380972743
GPNMB,3.59091644708404
AFAP1L2,3.5887517227233703
TNS4,3.556582900085197
FAM64A,3.5520215672820465
PPAP2C,3.545471526902556
TNFRSF18,3.5443823956987033
PFKFB4,3.542818503014021
ARHGAP8,3.5424087348971867
AKR1B10,3.5278654523797064
CAV2,3.521334988484859
CEP72,3.501420469736035
GOLGA7B,3.494752888333539
CDCA4,3.4832695801858047
VAV2,3.4787176950054017
CHPF,3.4724109870966298
SLC4A3,3.4680007393288697
TTPAL,3.4567207607049006
NDRG1,3.4490495494068534
GPC1,3.443340074865572
DDIT4,3.43968166282788
NEFL,3.436670505028274
IRX3,3.433150383671902
TNFRSF21,3.432131957784396
GGH,3.4318556467080406
SNORA15,3.4298817147699525
KRT75,3.4269072858757643
PHLDB2,3.4254277933203934
WNT2B,3.415690638373268
ADORA2B,3.4114149628496375
BPGM,3.3987094013638983
KIF14,3.3930581901439645
PPM2C,3.3723225834058836
SOX21,3.367396338649284
TFRC,3.366023879576246
SDC1,3.3516141938961033
ATP2C2,3.349534099292044
CELSR2,3.3380498751862717
KIAA1609,3.337412330980788
C8orf55,3.3361239193363152
