gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,refseq,exons,direction
ODZ2,1467.267422996986,2.0432609844169907,0.45710337663916006,4.470019450392186,7.821248421496116e-06,0.00017154496015916115,7.821248421496116e-06,True,tested,NM_001122679,29,up
FSCN1,1476.0751616684595,1.8640734668072985,0.4180034449180006,4.4594691490472576,8.216289836886114e-06,0.00017908784445295749,8.216289836886114e-06,True,tested,NM_003088,5,up
CDK6,3623.055746011503,1.7909290364826151,0.4026188598543147,4.44819956305736,8.659305992890746e-06,0.00018796419165559953,8.659305992890746e-06,True,tested,NM_001259,9,up
NDRG4,345.2030450696832,2.2091714294705493,0.4986132674750577,4.430631059333092,9.395772216945647e-06,0.00020046253284455406,9.395772216945647e-06,True,tested,NM_001130487,16,up
FANCE,284.8858652576909,2.0091262398251346,0.4554274645061123,4.411517522343385,1.026486455163193e-05,0.0002178639736958486,1.026486455163193e-05,True,tested,NM_021922,10,up
HAS3,3448.098940821681,2.7034957175294494,0.6157815416476171,4.390348743315423,1.131690130141065e-05,0.00023874571299722949,1.131690130141065e-05,True,tested,NM_005329,4,up
FAT1,7059.8503706901,1.7854477239753215,0.4088748585117685,4.366733945134294,1.2611819486981971e-05,0.0002644706098407836,1.2611819486981971e-05,True,tested,NM_005245,27,up
FOXM1,498.06951802189127,1.7653368840518437,0.4046733397424628,4.362375058300895,1.286580626391225e-05,0.0002692592840810002,1.286580626391225e-05,True,tested,NM_202002,10,up
LAMA3,1975.395819320055,1.7527742519293361,0.4019458532185329,4.360722315939344,1.2963379547978329e-05,0.00026982445315979517,1.2963379547978329e-05,True,tested,NM_198129,75,up
C9orf140,349.24338220276036,2.398827025582629,0.5501123449989866,4.360612968223879,1.2969859970083435e-05,0.00026982445315979517,1.2969859970083435e-05,True,tested,NM_178448,6,up
SLC3A2,3193.2272777663425,1.6578011252708607,0.3809682241433773,4.35154698006243,1.351803478445602e-05,0.000279567861113179,1.351803478445602e-05,True,tested,NM_001012661,13,up
SLC28A3,107.29403785757641,2.469992320795295,0.5737837405643097,4.304744359549272,1.6717867164019183e-05,0.0003339123810364744,1.6717867164019183e-05,True,tested,NM_022127,19,up
PTK7,2252.281564364342,1.7288328701228124,0.40276068707646095,4.292456849927379,1.7670689865797722e-05,0.0003516065676705888,1.7670689865797722e-05,True,tested,NM_002821,20,up
CSPG4,1888.1634607534859,1.7999618637170356,0.42101985545664133,4.275242225250359,1.9092959637693626e-05,0.0003770500638225737,1.9092959637693626e-05,True,tested,NM_001897,10,up
TUBB3,160.44379252603764,2.398200165592511,0.5654912366526699,4.2409148191018,2.2261061269863802e-05,0.0004267786673379363,2.2261061269863802e-05,True,tested,NM_006086,4,up
KCTD11,1079.3496089271357,1.721013097151993,0.4059471256058559,4.239500635910321,2.2401755921180067e-05,0.00042869371167198134,2.2401755921180067e-05,True,tested,NM_001002914,1,up
PLXNA1,3751.2269415337582,1.7489859141362483,0.414590487243073,4.2185866968790915,2.4583844170725363e-05,0.00046620553584411666,2.4583844170725363e-05,True,tested,NM_032242,31,up
ITGB8,2251.4425609838645,1.6901889809970245,0.40098865330668954,4.215054383856371,2.4971800623631003e-05,0.00047189913390996603,2.4971800623631003e-05,True,tested,NM_002214,14,up
GPRIN1,286.6035745172515,2.55014791440653,0.6065789325038967,4.204148508553992,2.6206683690627827e-05,0.00049253563301205,2.6206683690627827e-05,True,tested,NM_052899,2,up
PLAU,1192.4092420940872,1.6200974159315784,0.385596916499319,4.201531046046214,2.651158806639796e-05,0.0004947260110578632,2.651158806639796e-05,True,tested,NM_002658,11,up
KRT17,11000.416690196007,1.9150902024645442,0.46035942670536967,4.159989111486585,3.182627668134774e-05,0.0005825206669237619,3.182627668134774e-05,True,tested,NM_000422,8,up
PKMYT1,248.5686954422171,2.016057332787902,0.4848264876220496,4.158306908263509,3.2061508012906634e-05,0.000584788547193745,3.2061508012906634e-05,True,tested,NM_004203,9,up
CA2,481.0184699903792,2.479937310838712,0.5992819821896643,4.138180997495511,3.5007016847384956e-05,0.0006352050414484047,3.5007016847384956e-05,True,tested,NM_000067,7,up
FBXO41,451.0897239688782,1.838863581578853,0.45435732902104065,4.047174908658066,5.1839505289875794e-05,0.000909225112813748,5.1839505289875794e-05,True,tested,NM_001080410,13,up
KIAA1804,255.7112937248323,1.785754287716599,0.4436951482596829,4.024732509969761,5.704011330888229e-05,0.000985630642143285,5.704011330888229e-05,True,tested,NM_032435,10,up
TFCP2L1,1035.0711879034047,1.9262870131479821,0.47979051062278233,4.014850170020254,5.948357001893623e-05,0.0010228058700801049,5.948357001893623e-05,True,tested,NM_014553,15,up
ACP5,567.1058172302405,1.8179119776009258,0.45327573157578316,4.010609549470198,6.0562192118740534e-05,0.0010379549598686592,6.0562192118740534e-05,True,tested,NM_001111035,7,up
ITGA6,7279.349717153044,1.8393983760810138,0.45962676680350834,4.001939201394164,6.282544434931546e-05,0.0010697635629398838,6.282544434931546e-05,True,tested,NM_000210,26,up
AKR1C1,135.8001277864761,2.203694137506684,0.5516443773611543,3.9947731327350304,6.47562303494598e-05,0.0010955377714193634,6.47562303494598e-05,True,tested,NM_001353,9,up
MPHOSPH6,267.32897084387207,1.8364237028733117,0.45980820472766104,3.993890678747248,6.49978409578309e-05,0.0010978574229951307,6.49978409578309e-05,True,tested,NM_005792,5,up
ARSJ,273.9918586189515,1.8259632565221746,0.45848376569310195,3.982612674980581,6.816179164257171e-05,0.001140299017510921,6.816179164257171e-05,True,tested,NM_024590,2,up
GCLC,1095.0415540628576,1.7186616672507196,0.43190730486955353,3.97923732216059,6.913670069751102e-05,0.0011547697575962652,6.913670069751102e-05,True,tested,NM_001498,16,up
HSD17B1,71.18767287811582,2.4812418687847164,0.6245004952660652,3.9731623715167688,7.092466543293589e-05,0.0011808788193952845,7.092466543293589e-05,True,tested,NM_000413,6,up
CEP55,282.7408376644274,1.722120746156286,0.4357383265856794,3.9521902047275264,7.743914835048478e-05,0.0012812215631026664,7.743914835048478e-05,True,tested,NM_001127182,9,up
MFSD3,256.0496023202268,1.7696293333622537,0.4525081223953652,3.910712859682315,9.20241202799652e-05,0.0014966027982373288,9.20241202799652e-05,True,tested,NM_138431,5,up
CLDN1,1624.639801226767,2.2124353195500537,0.5669183072612246,3.902564604481203,9.517882249725297e-05,0.0015439154185960004,9.517882249725297e-05,True,tested,NM_021101,4,up
FAM83A,581.1804786035826,1.9647278823679262,0.5062416845332569,3.8810077131031986,0.00010402454142031894,0.0016761991290826239,0.00010402454142031894,True,tested,NM_207006,5,up
KIAA1644,254.14556544861657,1.744565589911986,0.45041389445070446,3.8732499405675416,0.00010739359002714558,0.0017251942764911186,0.00010739359002714558,True,tested,NM_001099294,5,up
B4GALNT3,1190.4360050444152,1.6377145724536752,0.42459799280565014,3.8570944757228305,0.00011474282178786373,0.001834837268954789,0.00011474282178786373,True,tested,NM_173593,20,up
EPHB4,1635.3136120485294,1.5316467959389675,0.39833240004082476,3.8451474090031095,0.00012047998979347676,0.0019091444536504778,0.00012047998979347676,True,tested,NM_004444,17,up
GPR172A,725.6605754295318,1.6322718125963114,0.4244873571913543,3.845277803787454,0.00012041593745145161,0.0019091444536504778,0.00012041593745145161,True,tested,NM_024531,5,up
TPBG,550.1707545725525,1.5866330943077764,0.41300228482260976,3.8417053672941726,0.0001221824465175431,0.0019332059986646203,0.0001221824465175431,True,tested,NM_006670,2,up
MYO10,1766.2548236425926,1.5960993740858347,0.41587805811562917,3.837902344061781,0.0001240898096355228,0.0019574887988450486,0.0001240898096355228,True,tested,NM_012334,41,up
POSTN,1848.3721243352309,1.645895908181875,0.42976804189465473,3.829730802983529,0.00012828351549127798,0.0020175847511248,0.00012828351549127798,True,tested,NM_006475,23,up
CDSN,417.8508539392528,1.9224818670150752,0.5024895664659982,3.8259139996395586,0.00013028777224684786,0.0020399453580110037,0.00013028777224684786,True,tested,NM_001264,2,up
FBXO2,186.6614888213463,2.1924574543689266,0.5742977138381984,3.817632216774984,0.00013473858282111537,0.002103363374619076,0.00013473858282111537,True,tested,NM_012168,6,up
IL8,512.3619842896428,2.433390811343252,0.6380463541934288,3.8138150862398787,0.00013683786955747085,0.002129805418623391,0.00013683786955747085,True,tested,NM_000584,4,up
C6orf150,173.48786036256092,1.9824913557339654,0.5223739708577634,3.79515723664144,0.0001475499147348946,0.0022814165633365403,0.0001475499147348946,True,tested,NM_138441,5,up
FBXO45,1010.5613887958056,1.6302670397110253,0.4302254655289587,3.7893318046774036,0.00015105304436269167,0.002326925636472784,0.00015105304436269167,True,tested,NM_001105573,3,up
ARHGEF16,476.04286240313917,1.586651767745451,0.41920596961331225,3.7848978372350586,0.00015377173475444763,0.0023616353278651026,0.00015377173475444763,True,tested,NM_014448,15,up
NQO1,1231.6837527091986,1.4624483032092441,0.3865961107193848,3.7828841590979656,0.0001550215723286046,0.0023706792414618922,0.0001550215723286046,True,tested,NM_000903,6,up
KDELR3,127.35179322635719,2.2435809725072278,0.5934399990855898,3.780636586620856,0.0001564278717099429,0.0023887081688730525,0.0001564278717099429,True,tested,NM_006855,5,up
ITPR3,3262.4252875365637,1.4978632213792933,0.39665230999637585,3.7762624435314116,0.00015919925000813467,0.002420473691151176,0.00015919925000813467,True,tested,NM_002224,58,up
ECE2,63.7844011505205,2.30613436227246,0.6119641111754153,3.7684143892735937,0.00016428781035903836,0.002479896171885139,0.00016428781035903836,True,tested,NM_014693,19,up
NOD2,550.8772898387207,1.6868471471743631,0.44892477473013054,3.757527412445448,0.00017160057355770298,0.0025681419170900674,0.00017160057355770298,True,tested,NM_022162,12,up
CELSR1,3129.6389557276157,1.7589719756575843,0.4680808251795308,3.7578381361444073,0.00017138768301438044,0.0025681419170900674,0.00017138768301438044,True,tested,NM_014246,35,up
RTN4R,92.56002287528158,2.101925436078556,0.5598527400909142,3.754425557937299,0.00017373946924831592,0.0025899143437811633,0.00017373946924831592,True,tested,NM_023004,2,up
TRIB3,279.5099567063622,2.265589603879284,0.6061237563932412,3.7378333714565937,0.00018561288977164686,0.002742684978819862,0.00018561288977164686,True,tested,NM_021158,4,up
RNF152,169.96543538730407,1.7860613180580434,0.47862888838698486,3.731620387722946,0.00019025205096329152,0.0028072865834555347,0.00019025205096329152,True,tested,NM_173557,2,up
SSFA2,4433.697766158268,1.5136594281638323,0.4058850992714411,3.729280603995645,0.00019202721870791362,0.0028255433609878718,0.00019202721870791362,True,tested,NM_001130445,18,up
ITGA2,2198.7989285660133,1.5815081827234136,0.4242642227058521,3.7276491820048983,0.00019327415820828323,0.0028399137148758377,0.00019327415820828323,True,tested,NM_002203,30,up
KCNK7,149.3035039607241,1.8492264415403237,0.4968738871351369,3.7217219286820393,0.00019786885354336324,0.002895278795719463,0.00019786885354336324,True,tested,NM_033348,4,up
PAQR4,346.7842101341378,1.5911401057927161,0.4295587221540391,3.704127104703826,0.00021211988627775985,0.003086608760712112,0.00021211988627775985,True,tested,NM_152341,3,up
DDR1,3041.0578859505963,1.5051411079691248,0.40685519114681223,3.6994516494346508,0.00021606579684213818,0.003139678093531817,0.00021606579684213818,True,tested,NM_001954,19,up
TRIB1,1234.8447861495977,1.4652938582571298,0.39724114765405577,3.688675926224052,0.00022542413032635808,0.003257642246504426,0.00022542413032635808,True,tested,NM_025195,3,up
MTSS1,2088.347846476717,1.504452313933323,0.40805118453706096,3.6869205897297967,0.00022698414951459852,0.003275680597253258,0.00022698414951459852,True,tested,NM_014751,14,up
TMEM189,783.0930708818265,1.4453734169134849,0.39252545208346173,3.6822412642076485,0.0002311924592398061,0.003322719530469771,0.0002311924592398061,True,tested,NM_199129,6,up
UBE2C,152.4900968889692,1.7566037510055235,0.47730071461848717,3.680287284735369,0.00023297133335024335,0.0033437115139039026,0.00023297133335024335,True,tested,NM_007019,6,up
PYGB,2394.5153406707527,1.4902547613478239,0.4056146955480311,3.674065012201597,0.00023872195011074462,0.0034076260976406017,0.00023872195011074462,True,tested,NM_002862,20,up
