gene,GSM515513,GSM515514,GSM515515,GSM515516,GSM515517,GSM515518
POLR2A,2662,1674,2402,5489,6023,5498
POLR2B,670,745,919,1109,1631,1983
POLR2C,250,369,236,585,564,608
POLR2D,156,226,158,395,439,379
POLR2E,322,402,231,440,730,314
POLR2F,77,129,87,212,177,128
POLR2G,49,134,84,64,142,168
POLR2H,160,160,173,297,386,371
POLR2J,52,168,59,182,191,170
POLR2J4,132,122,185,156,188,191
POLR2K,133,275,253,164,293,941
POLR3A,377,194,314,588,874,924
POLR3B,218,189,285,307,419,307
POLR3C,149,65,218,223,283,230
POLR3D,172,112,155,203,555,288
POLR3E,348,274,329,357,717,474
POLR3F,80,57,108,129,136,102
POLR3G,85,78,68,167,69,114
POLR3H,361,458,381,896,894,850
POLR3K,36,89,70,67,112,50
POLRMT,95,151,78,157,365,106
POLS,465,490,482,1127,819,1002
POM121,82,52,69,93,209,117
POM121C,44,86,34,124,132,128
POMGNT1,187,130,177,281,586,401
POMP,321,1602,539,575,597,694
POMT1,97,117,151,175,398,287
POMT2,242,262,145,355,787,818
PON2,100,102,221,334,508,851
POP1,151,230,130,187,262,713
POP5,35,60,76,181,87,91
POP7,54,161,49,161,74,103
POR,553,1653,382,747,2327,981
PORCN,102,285,145,130,190,262
POSTN,185,884,533,1303,3304,8113
POT1,90,32,150,155,215,496
POU2F1,145,71,173,244,271,259
POU2F2,63,71,34,57,288,74
POU2F3,96,16,59,46,94,70
POU3F1,75,291,78,159,122,422
POU6F1,81,0,67,37,229,101
PPA1,180,168,245,287,428,462
PPA2,196,277,384,490,437,461
PPAN,320,389,366,445,727,451
PPAN-P2RY11,401,343,315,460,726,404
PPAP2A,111,6,161,116,532,126
PPAP2B,698,104,613,371,2451,594
PPAP2C,38,222,115,292,43,134
PPAPDC1B,62,74,106,75,214,69
PPARA,562,241,382,990,977,836
PPARD,778,1068,649,1659,1760,1539
PPARG,71,4,113,32,208,2
PPARGC1A,125,57,227,6,492,236
PPARGC1B,151,399,172,216,213,81
PPAT,84,209,75,184,157,202
PPCS,38,135,148,175,141,159
PPFIA1,445,8386,581,897,1823,1930
PPFIA3,157,237,102,161,173,297
PPFIA4,95,76,218,124,627,86
PPFIBP1,600,712,779,1008,1929,2020
PPFIBP2,381,108,337,384,781,334
PPHLN1,135,104,250,355,434,496
PPIA,162,49,172,289,328,194
PPIB,713,998,852,1235,2566,1911
PPIC,195,40,235,132,466,239
PPID,89,223,130,251,252,219
PPIE,111,219,160,234,367,402
PPIF,821,1582,1355,1971,2111,1249
PPIG,459,303,589,632,612,685
PPIL1,89,105,123,189,267,320
PPIL2,247,275,350,568,621,540
PPIL3,52,21,102,90,140,89
PPIL4,222,174,295,354,371,375
PPIL5,71,218,60,152,163,195
PPL,14371,3539,11409,5277,9402,1203
PPM1A,603,545,959,1131,2407,1788
PPM1B,266,346,370,416,806,401
PPM1D,141,99,133,79,333,218
PPM1F,1118,900,945,1338,3694,1268
PPM1G,460,778,456,1290,1076,985
PPM1K,183,17,146,42,464,208
PPM1L,277,191,326,112,860,240
PPM1M,118,51,161,121,552,110
