gene,discovery_log2FoldChange,discovery_lfcSE,discovery_pvalue,discovery_padj,discovery_test_status,validation_log2FoldChange,validation_lfcSE,validation_pvalue,validation_padj,validation_test_status,discovery_candidate,mapping_status,testable,same_direction,replicated,replicated_large_effect,validation_outcome,lfc_difference
ALOX12P2,3.269727924642647,0.4761718957244649,6.570561640140889e-12,5.392993796196888e-10,tested,1.1680436320524281,0.33690265849637757,0.0005262895979785019,0.0018159443965785095,tested,True,matched_exact_symbol,True,True,True,True,replicated,-2.101684292590219
ALPK3,-3.280990768066689,0.4834874034235695,1.1521043073851404e-11,9.16970291923355e-10,tested,-0.35131066567908675,0.39287317409373773,0.3712101627894625,0.4691709555895989,tested,True,matched_exact_symbol,True,True,False,False,not_significant,2.9296801023876022
AMICA1,-1.652819333000653,0.5495600113438838,0.0026337837356911,0.0248835718769529,tested,,,,,,True,not_in_validation_source,False,False,False,False,not_testable,
AMOT,-4.285430274435917,0.6827220973087186,3.4522116800524265e-10,1.981909066154688e-08,tested,-2.801811793233584,0.38039860005987475,1.7653315793064818e-13,6.002127369642038e-12,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.4836184812023334
AMY2B,-1.7296020937030767,0.6321106135984598,0.0062146953339312,0.0490576681737511,tested,-2.592609536085156,0.372529066967527,3.415248466315977e-12,8.696460074713293e-11,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.8630074423820795
ANGPTL2,-1.6283326139012846,0.4724117612075546,0.0005671627881576,0.0070349613369348,tested,0.987845341972887,0.28935758468918005,0.0006403399760985546,0.002159060931877446,tested,True,matched_exact_symbol,True,False,False,False,significant_opposite_direction,2.6161779558741713
ANK2,-3.876625377585044,0.5279017428858512,2.0814149068524579e-13,2.1203988610412705e-11,tested,-1.961497073191917,0.31143948358151335,3.0119094986561584e-10,5.0151664693108605e-09,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.9151283043931269
ANKRD1,-5.691524382187548,0.7166443518484641,1.990926421274765e-15,2.946010279142632e-13,tested,2.640193894221092,0.49606694004381535,1.024897411931476e-07,9.518428097282439e-07,tested,True,matched_exact_symbol,True,False,False,False,significant_opposite_direction,8.33171827640864
ANKRD23,-3.2397895773569862,0.4844480359085147,2.2687652903073697e-11,1.6552533430534184e-09,tested,-1.5872800672164353,0.4938841852840623,0.0013095848813763715,0.0040041264358630065,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.652509510140551
ANKRD44,-2.0172916107197967,0.6283627421527885,0.0013255341579745,0.0141381338717564,tested,-0.7304045199827078,0.19035919632805035,0.00012455636973368622,0.0005128791694916492,tested,True,matched_exact_symbol,True,True,True,False,replicated,1.2868870907370888
ANKRD6,-2.000560057720404,0.5135426265455152,9.795325860504484e-05,0.0015856655391442,tested,-1.7289801933490405,0.28564700309699603,1.4230001231007246e-09,2.0274571557092005e-08,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.2715798643713636
ANXA1,-2.458739838785756,0.468932616077989,1.577562996103244e-07,5.398656950182632e-06,tested,-1.2721434497642492,0.5287950680736694,0.01613974654009567,0.034461061691472214,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.1865963890215068
ANXA6,-1.906968562650298,0.4221993999916334,6.279637477951964e-06,0.0001415748312089,tested,0.129909185004128,0.2886220639703881,0.6526373525070344,0.7278710866760739,tested,True,matched_exact_symbol,True,False,False,False,not_significant,2.036877747654426
ANXA9,-3.232986397796576,0.6520375790740361,7.111916597901001e-07,2.075494327154109e-05,tested,-3.00517201462871,0.6559636959660907,4.620757516779988e-06,2.8451370015357983e-05,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.22781438316786584
AOC3,-3.106521837932413,0.483843609435686,1.3582019799152623e-10,8.49361309582723e-09,tested,-0.35533224194121116,0.43600013002266635,0.41508263453500094,0.5131753031202221,tested,True,matched_exact_symbol,True,True,False,False,not_significant,2.751189595991202
AOX1,-4.446136545770263,0.7111004342301044,4.040025857398946e-10,2.257686790310283e-08,tested,-2.248893755041889,0.3602864302926752,4.321194124620216e-10,6.8685053539154806e-09,tested,True,matched_exact_symbol,True,True,True,True,replicated,2.197242790728374
AP1S1,1.1365251785819692,0.4150126959244318,0.0061714321369157,0.0488598839716932,tested,0.4708029479137859,0.21246999844826872,0.026701357049768837,0.053081548428374405,tested,True,matched_exact_symbol,True,True,False,False,not_significant,-0.6657222306681834
AP1S2,-2.2227754266923165,0.551139317178502,5.505628182972003e-05,0.000960832719108,tested,0.07899100812544932,0.25606043465713485,0.7577127034306868,0.8148675597203131,tested,True,matched_exact_symbol,True,False,False,False,not_significant,2.301766434817766
APBB1,-1.873338377343184,0.5585635894964298,0.0007969561322002,0.0092110243398199,tested,-1.0135058935998131,0.2622392372149034,0.00011117385452993533,0.0004643082132333518,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.8598324837433708
APLNR,-3.032169136102749,0.430422488439566,1.8594888020792706e-12,1.6841197719521394e-10,tested,1.5438308613431975,0.4605603258429539,0.0008020947748337098,0.0026222329177255895,tested,True,matched_exact_symbol,True,False,False,False,significant_opposite_direction,4.575999997445947
APOD,-4.725061849751793,1.710854768942972,0.0057481297070443,0.046169610628599,tested,-2.8857439979710087,0.44065961399862164,5.8043279468387817e-11,1.1563309581592886e-09,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.839317851780784
APOL3,-1.730040869404724,0.6090930298023878,0.0045063252984821,0.0383969615457042,tested,0.07987991047517119,0.3237659787561411,0.8051240470183523,0.8521202458132277,tested,True,matched_exact_symbol,True,False,False,False,not_significant,1.8099207798798953
APOLD1,-1.4084158111370473,0.4153578111193061,0.0006967636081123,0.0082714106969813,tested,0.3901011375974198,0.31486297040151656,0.2153620622514152,0.3036023385869342,tested,True,matched_exact_symbol,True,False,False,False,not_significant,1.7985169487344672
APPL1,-1.3337884598577618,0.3863277596231446,0.0005554608034948,0.0069472276208532,tested,-1.1290005847002431,0.15852486176874317,1.0643772542861787e-12,3.025339807166925e-11,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.20478787515751873
AQP1,-2.4350518165103234,0.3966887121566997,8.33331870722275e-10,4.377492316904111e-08,tested,-0.3001348459687055,0.3150418755512972,0.34075102001762947,0.4383715825091666,tested,True,matched_exact_symbol,True,True,False,False,not_significant,2.1349169705416178
ARHGAP10,-1.1674263217432097,0.4260859439575657,0.0061460757359915,0.0487325824017565,tested,-0.7703408768990869,0.20333610268370395,0.00015155343808550753,0.0006077800201811525,tested,True,matched_exact_symbol,True,True,True,False,replicated,0.3970854448441228
ARHGAP20,-2.5836691959773197,0.5277570326399424,9.80233642876859e-07,2.7029749742950864e-05,tested,-1.7738238830599156,0.38799872632350174,4.837230896253351e-06,2.9671674054337565e-05,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.8098453129174041
ARHGAP26,-1.3141589625266752,0.4389382052861647,0.0027539122925133,0.0257636710108149,tested,-0.537491379113704,0.2978477312875786,0.07113973595123252,0.1212488500510481,tested,True,matched_exact_symbol,True,True,False,False,not_significant,0.7766675834129712
ARHGAP29,-1.6502405448791475,0.4164404696659292,7.40980107032564e-05,0.0012317621842538,tested,0.8967540087383513,0.41952359702108505,0.03255302327019394,0.06278459917590078,tested,True,matched_exact_symbol,True,False,False,False,not_significant,2.5469945536174987
ARHGAP30,-1.229662759277091,0.4023385721813027,0.002240955029508,0.0220238293171292,tested,-0.43890087094030394,0.239156215945337,0.06647520436959603,0.11456815660879494,tested,True,matched_exact_symbol,True,True,False,False,not_significant,0.7907618883367871
ARHGAP8,1.897894759548008,0.535763911389263,0.000396490595579,0.0052265121670688,tested,0.2168523626028299,0.49466934709562066,0.6611119934102858,0.7347338205342542,tested,True,matched_exact_symbol,True,True,False,False,not_significant,-1.6810423969451782
ARHGEF16,1.586651767745451,0.4192059696133122,0.0001537717347544,0.0023616353278651,tested,-0.6590181366811636,0.3909789997052218,0.09188078912146087,0.1501897514485418,tested,True,matched_exact_symbol,True,False,False,False,not_significant,-2.245669904426615
ARHGEF6,-2.3475078927058264,0.5286918519881009,8.98671519790863e-06,0.0001942683742165,tested,-0.385220141821613,0.2407125297896341,0.10952478793628566,0.17370212924590842,tested,True,matched_exact_symbol,True,True,False,False,not_significant,1.9622877508842134
ARL6IP5,-1.5973583699688034,0.4799434116360321,0.0008740209060493,0.0098842450365496,tested,-0.7326523481277265,0.18880717978091494,0.00010427353434091302,0.00043867136176886575,tested,True,matched_exact_symbol,True,True,True,False,replicated,0.8647060218410769
ARMCX1,-2.2096708869393757,0.6084218792775464,0.0002814434972449,0.0039319752420947,tested,-0.4765730585131922,0.31854101088000875,0.13462444707154017,0.2060048332813538,tested,True,matched_exact_symbol,True,True,False,False,not_significant,1.7330978284261835
ARNT2,-1.922004166143748,0.6220204628278936,0.0020019882165215,0.0199742528041556,tested,-0.48103454804889956,0.3458751809251109,0.16429367222938074,0.24311050727799438,tested,True,matched_exact_symbol,True,True,False,False,not_significant,1.4409696180948484
ARPC1A,1.1799314788392148,0.4285766021265063,0.0059026609547075,0.0471943348479127,tested,0.6343773557884836,0.1774238000235671,0.0003495700301803956,0.0012669695510091495,tested,True,matched_exact_symbol,True,True,True,False,replicated,-0.5455541230507311
ARPP-21,-5.147344388154232,0.7687388901146065,2.144519326507446e-11,1.5866422566399454e-09,tested,,,,,,True,not_in_validation_source,False,False,False,False,not_testable,
ARRB1,-1.454699749808175,0.525263250636493,0.0056147924208647,0.0453064586586824,tested,-0.7471381292689508,0.22974020917938345,0.0011455571922331551,0.00357753761782934,tested,True,matched_exact_symbol,True,True,True,False,replicated,0.7075616205392242
ARSG,-1.9838467361295165,0.5696958094381424,0.0004971426487673,0.006346270556439,tested,-2.3569662647942513,0.2633608861694677,3.568749464878352e-19,3.500119667476845e-17,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.37311952866473486
ARSJ,1.8259632565221744,0.4584837656931019,6.816179164257171e-05,0.0011402990175109,tested,2.549793934665855,0.2783299475919047,5.139585584078028e-20,5.828097955701307e-18,tested,True,matched_exact_symbol,True,True,True,True,replicated,0.7238306781436807
ASAH1,-1.0956894521931908,0.3984727207567144,0.0059645732089541,0.0475446177035447,tested,-1.1247168182700895,0.19245153699328743,5.09142771710975e-09,6.431846054522932e-08,tested,True,matched_exact_symbol,True,True,True,True,replicated,-0.02902736607689871
ASB5,-5.59313099024331,1.6264707702451988,0.0005842678084431,0.0072045981167882,tested,-2.206441685281677,0.5873169570437909,0.0001720889962323189,0.0006793647629508301,tested,True,matched_exact_symbol,True,True,True,True,replicated,3.386689304961633
ATG9B,-3.120945371029189,0.494094213504619,2.6755600034609105e-10,1.5703594076178953e-08,tested,-1.606429876456469,0.6380832206656817,0.01181618596621195,0.026477393861019747,tested,True,matched_exact_symbol,True,True,True,True,replicated,1.51451549457272
