gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,direction
PARS2,149.4109893253029,-0.043488442822853836,0.15788372506803214,-0.2754460144901867,0.7829735962872632,0.8352996373086111,0.7829735962872632,True,tested,not_significant
LEXM,80.99041791314659,-1.3415445385961162,0.6290058391203599,-2.1328014068553225,0.03294102080692812,0.06341574846427872,0.03294102080692812,True,tested,not_significant
USP24,3660.438857065742,-0.04876723360893287,0.15954854068513552,-0.3056576600419907,0.7598653137023388,0.8167888624344664,0.7598653137023388,True,tested,not_significant
PLPP3,1833.8440104903732,-1.1133194666603554,0.2990480589698074,-3.722878090216124,0.00019696463892943287,0.0007631471250033377,0.00019696463892943287,True,tested,down
NOL9,1213.4858597157652,0.3320445641023341,0.13311178225801829,2.4944791397857844,0.012614214069990175,0.027967174406822087,0.012614214069990175,True,tested,not_significant
PRKAA2,918.2887885599296,-3.2593185365100847,0.5028186189338536,-6.482095956233577,9.045707643083195e-11,1.7158967208186506e-09,9.045707643083195e-11,True,tested,down
KLHL21,2527.485954701306,0.04398944301757632,0.12912123228772537,0.3406832651624103,0.7333420382808096,0.7952706794235996,0.7333420382808096,True,tested,not_significant
ZSWIM5,106.91853356084766,-1.661781221495326,0.2920824049681025,-5.689425974415695,1.2746713163756644e-08,1.459453688088878e-07,1.2746713163756644e-08,True,tested,down
GMEB1,649.4922215171383,0.36384588022894415,0.14829360384350668,2.453550731782798,0.014145358495377692,0.030840924531878807,0.014145358495377692,True,tested,not_significant
SELENON,1318.4649617716523,0.16340497737418866,0.19214962906780164,0.8504048546277954,0.3951000380410574,0.49384046488571354,0.3951000380410574,True,tested,not_significant
AK4,2232.0213665332267,-0.4097121224883496,0.1546663203200689,-2.6490067238975166,0.008072872547126601,0.01915214978285617,0.008072872547126601,True,tested,not_significant
JAK1,6381.247286383351,0.5890075087325961,0.13491067123683106,4.365907480355009,1.2659606000668996e-05,6.916864619281959e-05,1.2659606000668996e-05,True,tested,not_significant
RAVER2,674.6360171174222,-1.7336091635800308,0.2666197911024801,-6.502177338041974,7.916569477410282e-11,1.5276839478029569e-09,7.916569477410282e-11,True,tested,down
LZIC,1284.783238257952,-0.0779898603336348,0.0718093616763003,-1.0860681464513602,0.27744884381905,0.3716669314949375,0.27744884381905,True,tested,not_significant
RBP7,72.18463971940868,-2.7386252301782665,0.2802316422010827,-9.772719485450333,1.4744030485727339e-22,2.5551547977692523e-20,1.4744030485727339e-22,True,tested,down
FBLIM1,2212.0965688650826,2.14361844582409,0.2471761865507379,8.672431093535256,4.229907565199893e-18,3.495548612908245e-16,4.229907565199893e-18,True,tested,up
SLC25A34,134.5438878176685,-2.7058167189595905,0.4034424120629983,-6.706822679161139,1.9890771980916703e-11,4.449251627310315e-10,1.9890771980916703e-11,True,tested,down
AKR7A3,15.632578082170516,-1.5780400175242555,0.4089503812085093,-3.858756685495468,0.00011396532942887896,0.00047452324009925105,0.00011396532942887896,True,tested,down
DRAXIN,17.942805168019543,1.3514246502567893,0.41901257186877877,3.2252603883207875,0.001258581406622353,0.0038733927772774137,0.001258581406622353,True,tested,up
PDPN,2105.3943089558775,3.2431070016443346,0.3489120010239265,9.294913881228005,1.473254171393915e-20,1.826221316623707e-18,1.473254171393915e-20,True,tested,up
LRRC38,19.46528633763325,-0.896972046364007,0.5746127290478303,-1.5610027432743205,0.11852310360485963,0.1853383617474152,0.11852310360485963,True,tested,not_significant
DHRS3,1692.469394319787,-0.5906468223296562,0.2999163813443084,-1.9693716618019106,0.04891042746241319,0.08831186831924696,0.04891042746241319,True,tested,not_significant
LAPTM5,1341.814917000615,0.7457999776272293,0.27253248266346214,2.7365544478901014,0.006208631962137751,0.015279757414057472,0.006208631962137751,True,tested,not_significant
SDC3,844.0172628650032,1.1011010972499515,0.28102111091347665,3.9182148759954494,8.920716770482758e-05,0.00038240824772602604,8.920716770482758e-05,True,tested,up
PEF1,1493.1586106530683,0.6341059624812853,0.14395709404068605,4.4048260817356475,1.0586878049252982e-05,5.9091861531946756e-05,1.0586878049252982e-05,True,tested,not_significant
SYNC,495.4502061427104,0.2686743076551829,0.29021731291934694,0.9257694000145644,0.35456583276571474,0.4526210480489171,0.35456583276571474,True,tested,not_significant
RBBP4,3687.5416602706955,0.05505737586428575,0.10428729525835814,0.5279394362265154,0.597541372078007,0.6808447268985334,0.597541372078007,True,tested,not_significant
KIAA1522,2820.1086606269296,-0.08352229718600825,0.1852554631817963,-0.4508493069596847,0.6520981615430528,0.7274970114714683,0.6520981615430528,True,tested,not_significant
TMCO4,323.3779816422592,-1.2043885240590617,0.3022220443449144,-3.9851114324557324,6.744846585507204e-05,0.00029845193741027167,6.744846585507204e-05,True,tested,down
