gene,in_library
AC093827.4,False
AC093827.5,False
AC093838.2,False
AC093849.4,False
AC093866.1,False
AC093884.1,False
AC093899.2,False
AC093904.4,False
AC093908.1,False
AC093909.1,False
AC095057.3,False
AC096564.1,False
AC096586.1,False
AC096642.1,False
AC096677.1,False
AC096720.2,False
AC096887.2,False
AC096921.2,False
AC096992.2,False
AC097359.2,False
AC097376.2,False
AC097382.3,False
AC097468.3,False
AC097534.2,False
AC097637.1,False
AC097639.1,False
AC097662.1,False
AC098484.3,False
AC098582.1,False
AC098614.3,False
AC098650.1,False
AC098934.1,False
AC099066.2,False
AC099329.1,False
AC099343.3,False
AC099489.1,False
AC099494.3,False
AC099521.2,False
AC099548.2,False
AC099560.2,False
AC099778.1,False
AC099804.1,False
AC099811.1,False
AC099850.1,False
AC100774.1,False
AC100810.1,False
AC100814.1,False
AC100858.3,False
AC100861.1,False
AC102945.2,False
AC102953.2,False
AC103591.3,False
AC103718.1,False
AC104041.1,False
AC104083.1,False
AC104109.4,False
AC104118.1,False
AC104162.2,False
AC104211.1,False
AC104447.1,False
AC104452.1,False
AC104581.4,False
AC104695.3,False
AC104695.4,False
AC104794.2,False
AC104825.1,False
AC104964.3,False
AC104964.4,False
AC104986.2,False
AC105046.1,False
AC105052.4,False
AC105074.1,False
AC105233.5,False
AC105277.1,False
AC105285.1,False
AC105339.2,False
AC105429.1,False
AC105942.1,False
AC106782.2,False
AC106791.1,False
AC106791.3,False
AC106795.1,False
AC106795.2,False
AC106865.1,False
AC106886.5,False
AC107021.2,False
AC107027.3,False
AC107068.1,False
AC107214.1,False
AC107223.1,False
AC107294.2,False
AC107375.1,False
AC107871.1,False
AC107884.1,False
AC107959.1,False
AC108010.1,False
AC108047.1,False
AC108066.2,False
AC108134.3,False
AC108215.1,False
AC108449.2,False
AC108488.1,False
AC108488.2,False
AC108488.3,False
AC108519.1,False
AC108704.2,False
AC108860.2,False
AC108925.1,False
AC109322.1,False
AC109326.1,False
AC109347.1,False
AC109460.3,False
AC110048.2,False
AC110079.1,False
AC110285.2,False
AC110769.3,False
AC110995.1,False
AC111170.3,False
AC112128.1,False
AC112220.2,False
AC112236.1,False
AC112777.1,False
AC113189.2,False
AC113383.1,False
AC113410.4,False
AC113935.1,False
AC114271.1,False
AC114296.1,False
AC114490.2,False
AC114490.3,False
AC114811.2,False
AC114956.3,False
AC114980.1,False
AC115223.1,False
AC115522.1,False
AC116158.3,False
AC116366.3,False
AC116533.1,False
AC116913.1,False
AC117382.1,False
AC117489.1,False
AC118344.2,False
AC118549.1,False
AC118553.2,False
AC118754.1,False
AC119427.1,False
AC119673.2,False
AC120049.1,False
AC120053.1,False
AC120114.1,False
AC120114.3,False
AC121761.1,False
AC122688.3,False
AC122718.1,False
AC122718.2,False
AC123768.4,False
AC124016.2,False
AC124045.1,False
AC124242.1,False
AC124312.3,False
AC124319.1,False
AC124319.3,False
AC124798.1,False
AC124852.1,False
AC124944.2,False
AC125232.1,False
AC125232.2,False
AC125257.1,False
AC125611.3,False
AC125807.2,False
AC126283.2,False
AC126474.2,False
AC126755.1,False
AC126755.6,False
AC126768.2,False
AC126773.2,False
AC127024.8,False
AC127070.4,False
AC127496.7,False
AC127502.1,False
AC127502.2,False
AC127502.3,False
AC127526.5,False
AC129492.1,False
AC129492.4,False
AC129502.1,False
AC129507.1,False
AC130371.2,False
AC130650.2,False
AC131212.3,False
AC131392.1,False
AC131649.2,False
AC132008.2,False
AC132192.2,False
AC132217.1,False
AC132872.1,False
AC132938.3,False
AC132938.5,False
AC133552.2,False
AC133644.3,False
AC133785.1,False
AC134312.5,False
AC134349.2,False
AC134407.3,False
AC134878.2,False
AC135048.1,False
AC135050.2,False
AC135050.6,False
AC135983.2,False
AC136621.1,False
AC137767.1,False
AC138035.1,False
AC138150.2,False
AC138207.4,False
AC138207.7,False
AC138305.1,False
AC138392.1,False
AC138393.1,False
AC138393.3,False
AC138409.2,False
AC138866.1,False
AC138866.2,False
AC138932.1,False
AC138951.2,False
AC138969.1,False
AC138969.2,False
AC139019.1,False
AC139256.2,False
AC139495.1,False
AC139495.3,False
AC139530.2,False
AC139768.1,False
AC139769.1,False
AC139795.1,False
AC139795.2,False
AC139887.2,False
AC140134.1,False
AC141586.1,False
AC142086.6,False
AC142381.3,False
AC142472.1,False
AC144548.1,False
AC144652.1,False
AC144831.1,False
AC145124.1,False
AC145138.1,False
AC145207.5,False
AC146944.1,False
AC146944.2,False
AC146944.4,False
AC159540.2,False
AC211476.5,False
AC215522.2,False
AC232271.1,False
AC233968.1,False
AC234772.2,False
AC234775.3,False
AC234917.3,False
AC239799.1,False
AC239799.2,False
AC239809.3,False
AC239811.1,False
AC239868.1,False
AC241585.2,False
AC241952.1,False
AC242376.2,False
AC242426.2,False
AC242842.3,False
AC242843.1,False
AC243772.2,False
AC243919.1,False
AC243919.2,False
AC244033.2,False
AC244034.3,False
AC244090.1,False
AC244153.1,False
AC244154.1,False
AC244197.3,False
AC244230.1,False
AC244669.1,False
AC245014.3,False
AC245041.1,False
AC245041.2,False
AC245060.4,False
AC245060.5,False
AC245060.7,False
AC245100.8,False
AC245140.2,False
AC245297.1,False
AC245297.3,False
AC245407.2,False
AC245452.1,False
AC245595.1,False
AC253572.1,False
AC253572.2,False
ACAA1,True
ACAA2,True
ACACA,True
ACACB,False
ACAD10,False
ACAD11,False
ACAD8,False
ACAD9,False
ACADL,True
ACADM,True
ACADS,True
ACADSB,True
ACADVL,True
ACAN,False
ACAP1,False
ACAP2,False
ACAP3,False
ACAT1,True
ACAT2,True
ACBD3,False
ACBD4,False
ACBD5,False
ACBD6,False
ACBD7,False
ACCS,False
ACD,False
ACE,True
ACE2,False
ACER1,False
ACER2,False
ACER3,False
ACHE,True
ACIN1,False
ACKR1,True
ACKR2,False
ACKR3,True
ACKR4,False
ACLY,True
ACO1,False
ACO2,True
ACOT1,False
ACOT11,False
ACOT13,False
ACOT2,True
ACOT4,False
ACOT7,False
ACOT8,True
ACOT9,False
ACOX1,True
ACOX2,True
ACOX3,True
ACP1,True
ACP2,True
ACP5,True
ACP6,False
ACP7,False
ACPP,False
ACRBP,True
ACSBG1,False
ACSF2,False
ACSF3,False
ACSL1,True
ACSL3,True
ACSL4,True
ACSL5,True
ACSL6,True
ACSM3,True
ACSM5,False
ACSS1,True
ACSS2,True
ACSS3,False
ACTA1,True
ACTA2,True
ACTB,True
ACTC1,True
ACTG1,True
ACTG1P3,False
ACTG2,True
ACTL10,False
ACTL6A,False
ACTN1,True
ACTN2,True
ACTN4,True
ACTR10,False
ACTR1A,False
ACTR1B,False
ACTR2,True
ACTR3,True
ACTR3B,False
ACTR3C,False
ACTR5,False
ACTR6,False
ACTR8,False
ACTRT3,False
ACVR1,True
ACVR1B,True
ACVR1C,False
ACVR2A,True
ACVR2B,False
ACVR2B-AS1,False
ACVRL1,True
ACY1,False
ACYP1,False
ACYP2,False
ADA,True
ADA2,False
ADAL,False
ADAM10,True
ADAM11,False
ADAM12,True
ADAM15,True
ADAM17,True
ADAM19,True
ADAM20,False
ADAM20P1,False
ADAM22,False
ADAM23,True
ADAM28,False
ADAM32,False
ADAM33,False
ADAM8,True
ADAM9,True
ADAMDEC1,True
ADAMTS1,True
ADAMTS10,False
ADAMTS12,False
ADAMTS13,False
ADAMTS14,False
ADAMTS15,False
ADAMTS17,False
ADAMTS2,False
ADAMTS3,False
ADAMTS4,False
ADAMTS5,True
ADAMTS6,False
ADAMTS7,False
ADAMTS9,False
ADAMTS9-AS2,False
ADAMTSL1,False
ADAMTSL2,False
ADAMTSL3,False
ADAMTSL4,False
ADAMTSL4-AS1,False
ADAMTSL5,False
ADAP1,False
ADAP2,False
ADAR,True
ADARB1,False
ADARB2,False
ADAT1,False
ADAT2,False
ADAT3,False
ADCK1,False
ADCK2,False
ADCK5,False
ADCY1,True
ADCY10P1,False
ADCY2,True
ADCY3,False
ADCY4,False
ADCY5,False
ADCY6,True
ADCY7,False
ADCY9,True
ADCYAP1R1,False
ADD1,True
ADD2,True
