gene,discovery_log2FoldChange,discovery_lfcSE,discovery_pvalue,discovery_padj,discovery_test_status,validation_log2FoldChange,validation_lfcSE,validation_pvalue,validation_padj,validation_test_status,discovery_candidate,mapping_status,testable,same_direction,replicated,replicated_large_effect,validation_outcome,lfc_difference
ABHD11,0.8464438503003442,0.5834449545713724,0.1468441959742214,0.4332336767495565,tested,-0.5724234947018346,0.29249730515479033,0.050344948750512826,0.09048020384491616,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-1.418867345002179
ABHD12,0.470872262600977,0.4921375716457006,0.3386733063556248,0.6638249545843647,tested,-0.18142901542199702,0.2179243260741702,0.40510861897237527,0.5038251292820142,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-0.652301278022974
ABHD13,-0.1392537163963673,0.4477458768871508,0.75579255897082,0.9181725976581216,tested,0.0936929404783141,0.12971707895289894,0.47011813539561875,0.5657391435860443,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,0.2329466568746814
ABHD14B,-0.4552772922799161,0.4716645425267524,0.3344163254680017,0.6601612016848601,tested,-1.2786026341694494,0.21092247023226462,1.3447640276772506e-09,1.9203230315231137e-08,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.8233253418895333
ABHD2,0.1910454828325336,0.3873679603132685,0.6218792942111597,0.8523337664782054,tested,0.33018993460659113,0.20904549968090289,0.11421860122231078,0.17977268599049884,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.13914445177405754
ABHD3,0.0083838860719053,0.5039838441892777,0.9867276206959988,0.996688816751482,tested,0.04567162847518981,0.18344127263824336,0.8033829128250233,0.8510109188728661,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.03728774240328451
ABHD4,0.0037762616694709,0.4746722756559879,0.9936524856074346,0.9987885091073064,tested,-0.17239548136995975,0.14815688347847375,0.2445857908616461,0.3362489500061909,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-0.17617174303943064
ABHD5,-0.4968271910314273,0.4080873231493003,0.2234318569332009,0.5373868223003521,tested,-0.9452805782859746,0.22820146333665567,3.438292850648938e-05,0.00016467273244991556,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,-0.44845338725454725
ABHD6,0.5738153512283453,0.5243808181171352,0.2738356142785779,0.600791640141573,tested,-0.17866587928904884,0.2828842977654037,0.5276571663027406,0.6193647937465588,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-0.7524812305173941
ABHD9,-1.6611265418819998,0.6853335573741768,0.0153581318866023,0.1006850226367708,tested,,,,,,False,not_in_validation_source,False,False,False,False,not_a_discovery_candidate,
ABI1,0.168064896757412,0.4206329851755163,0.6894862602218523,0.8844618620135264,tested,-0.026456021925506588,0.2078174315521609,0.8986996741079161,0.9239597501915852,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-0.1945209186829186
ABI2,0.0825799610494323,0.4454803266177821,0.8529365961314627,0.9569576974537748,tested,-0.22816430967373397,0.193041666915404,0.237228189533374,0.3281304287617765,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,-0.31074427072316624
ABI3,-0.7513192553779108,0.5635945793190521,0.1825040419189552,0.4876538198028894,tested,0.3595573569011187,0.31114699552238123,0.24785021504407823,0.33944127677847835,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,1.1108766122790295
ABI3BP,-4.7993075029953065,0.5682896904653969,3.035829229538439e-17,6.5090656909246616e-15,tested,-2.284666297070328,0.37378000759939856,9.818763224263706e-10,1.4556887338297938e-08,tested,True,matched_exact_symbol,True,True,True,True,replicated,2.5146412059249785
ABL1,-0.7389528336684852,0.4015665417813782,0.0657425042449057,0.2711429159781485,tested,0.08602913433677983,0.16655843587892577,0.6054981029319562,0.6876720199360831,tested,False,matched_exact_symbol,True,False,False,False,not_a_discovery_candidate,0.824981968005265
ABL2,0.5027586363306186,0.4107153048940578,0.2209126402742954,0.5342790512711207,tested,1.3616178155699046,0.24978522664165118,5.004392163476439e-08,4.98484375658786e-07,tested,False,matched_exact_symbol,True,True,False,False,not_a_discovery_candidate,0.858859179239286
