gene,GSM5593747,GSM5593748,GSM5593749,GSM5593750,GSM5593751,GSM5593752,GSM5593753,GSM5593754,GSM5593755,GSM5593756,GSM5593757,GSM5593758,GSM5593759,GSM5593760,GSM5593761,GSM5593762,GSM5593763,GSM5593764,GSM5593765,GSM5593766,GSM5593767,GSM5593768,GSM5593769,GSM5593770,GSM5593771,GSM5593772,GSM5593773,GSM5593774,GSM5593775,GSM5593776
EPG5,2925.491885502918,2388.5679761024494,2305.022426632745,1468.323250249104,1990.1750799818587,3401.7286601659425,1939.1906784694227,2105.6985253726034,3038.816237516084,1230.5776182775676,3266.1881986063167,1391.5538841647306,1976.2009263693692,1759.2327028278617,773.009082945483,2387.2136279533042,1647.7264025245508,2020.9830100986871,1816.3244158217599,1888.3190791996335,1612.8785020008015,1056.9628537326903,1461.63956829504,1499.4491125782217,2861.253363042855,1491.9994776967817,2156.3208716441927,2697.0526292046793,3074.0551406524455,895.39150798866
PSTPIP2,311.05649239912884,610.7863675450149,447.7961108343138,528.1468833804175,289.60755192082433,783.1133864460173,434.8856445448437,654.483574416391,202.64888005161575,217.3621105997929,186.9790067368937,401.1214051875705,341.0223467372987,117.1548379733357,137.26329510246896,427.35037405328,108.93429290846545,606.7963876474967,455.3506690177571,309.83668367007175,437.766238280139,330.76719893281836,288.0241051906421,533.5007248915576,398.12103531700654,364.1360318078208,184.8988928176944,502.4525452776091,216.32695112148357,380.2570106521714
ATP5F1A,16809.31446559737,8747.648646351006,13193.07210715269,6610.451204182701,9645.234211895968,8016.047471488231,7538.01783877729,10745.456446263403,23460.504959821672,5990.294386608466,10726.97480846052,4634.264309279202,7546.494511670546,11506.005853348639,28102.853576242327,7590.556643898735,17677.064803782803,7993.66480917446,17525.07612022617,8456.417288347466,6681.473140400965,7295.530662176111,24002.00876588684,10059.237901924662,19874.163430497265,5912.41925330067,11631.139811707668,10613.100085102002,19210.07908566856,7179.3823635098
HAUS1,308.82669675469066,479.9609038001562,237.58966312252264,276.43432619485685,219.46039401612643,630.580964058817,197.04399463409084,295.27195289257594,285.17557328530546,238.75601912339457,197.78704180839046,117.71226283074498,208.22793061148423,515.7359715130539,364.83138961445695,330.2964429496047,282.61973894434044,243.72152429477964,245.44924538131892,421.90527138052323,235.23342442523133,368.071770241031,263.19444095006946,368.54646176352725,265.73612794217667,204.1078283554364,218.63044758848997,284.2244695703463,251.97173284036438,365.63174101170324
C18orf25,3943.3935971889564,1641.3378733634104,4118.757753249426,1591.1829507801515,1885.9564453805933,2271.7957434875757,1835.894487449789,2163.8908080594615,4765.458052616503,1129.598370046168,6791.769238928555,1580.493312402614,1490.5976768678702,1868.7470078898928,606.848252031968,1642.0898988347647,2016.4270862147416,1458.317268825554,2864.1387805875283,1045.973485297547,1257.3912193492185,968.6753683032539,1115.679579876395,1760.9982144749185,4534.90781248231,997.5410766103723,3555.5557362105287,1538.155952968933,4212.229894848433,867.7659986677758
SPC25,93.65141706640439,130.82546374485864,59.59876295276839,110.1242437686828,30.063067673441974,69.87518790922026,63.36657096162393,100.5792540266682,77.94187694292914,79.58533970779818,77.81785251477658,130.45817664044347,58.9324331919295,253.41100822493266,21.67315185828457,57.91928146509656,76.1778272087171,113.33552364325143,141.34491027131122,143.5649881780947,6.329150432965865,87.04399971916273,24.829664240572594,34.179712179681964,62.810357513605396,78.5767226532666,57.4685747946888,100.31451867188693,68.83130262956296,130.00239680416115
PDK1,823.9094906199148,1061.050693685295,702.2989364164059,1532.0005340609273,1137.386060311888,1162.3141013192248,888.8680639000397,1465.5834158171651,1096.6880567499206,928.4956299243122,1604.9932081172667,848.7279077987472,1353.0886660867013,1360.6515692881435,1394.306102882974,674.6813597690978,852.4298864655444,711.1051881687192,735.5013594357453,1735.9643978677777,1183.551130964617,707.5433691457656,930.2847535467865,753.439742395598,1147.9800727102033,356.4700100855509,939.4862662088256,844.7538414474689,883.7447605474243,4030.074300928996
PDE3B,65.7789715109269,138.04895560807168,231.95194230266617,110.1242437686828,46.09670376594436,97.99569036049182,237.8416499107528,301.7377620800046,60.51957503803909,74.45080166213378,94.02990512202169,237.6738045690838,457.31568156937294,158.54105790956842,3781.9649992706577,324.0348990074321,693.9800058714128,72.21378497623101,39.779705285937894,74.71239180696766,1022.1577949239872,100.72234253217403,1130.5773784207388,102.53913653904588,44.45040685578228,269.26901299473064,253.6113192026484,277.18485422495075,51.62347697217221,100.7518575232249
TCF7L1,21.183058622162896,131.6280739518823,23.356271967976802,137.84259083971182,136.2859067862703,67.3187785954683,137.14956454707644,106.32663997104925,24.758007970106902,126.65193845972185,62.68660341468112,50.23389560292939,143.00937121241557,62.3976854423201,97.52918336228056,106.44624701693422,36.56535706018421,71.21081574045002,93.1014379032589,112.80106213993156,113.92470779338558,78.33959974724645,165.5310949371506,52.01260549082038,9.663131925170061,141.82140186199337,63.7151590115028,31.678269054280083,11.062173636894046,66.6262283621326
TGOLN2,2718.1208905701656,4705.703643779792,2922.755550751304,3891.8057576755587,2618.493194356796,5071.91607848389,3604.9502630633447,4219.299706418731,2286.906365831356,2782.0638644091605,3187.2895425843903,3588.3496172480604,3022.840939858037,3634.9835325531167,5096.802878673255,3683.3532239830324,2921.419673454301,3471.2765250379935,2521.3562137618933,3208.2380011227287,6522.1895211713245,3267.880446599424,4588.521951657815,3606.7026721777447,2168.4068040081615,4612.070318660636,2549.8556773034747,2694.412773450156,2422.616026479796,3568.565792274224
KCNK13,13.378773866629198,15.249593933449779,9.66466426261109,4.494867092599298,3.0063067673441974,12.782046568759803,11.284457842480974,6.46580918742867,35.76156706793219,13.692101455105064,6.484821042898047,21.743029440073915,0.7857657758923933,35.0191091768123,18.06095988190381,14.871166862659928,11.426674081307565,3.0089077073429586,13.542027331383112,25.636605031802628,1.0548584054943109,12.434857102737533,3.3106218987430123,11.888595540758944,12.56207150272108,32.580592319647124,49.972673734512,31.678269054280083,39.33217293117883,6.5001198402080576
UHMK1,4586.6896406093765,6355.870229420463,5898.6667549469685,6202.916587787031,5298.114626316257,8040.759428187834,5276.786094187833,6376.006282047716,4638.917122991512,8085.185909239541,5025.736308245987,7007.253556790717,4190.488882834134,11628.891091005453,2575.492879159483,6061.174536023078,4756.543530912296,7098.013281622039,4558.58495042684,5753.586643565989,3978.9259055245407,8438.29402991769,4182.970769061796,5482.128618732468,4821.90283065986,6799.761267653412,4367.611684396348,5486.500209817676,4520.741626277367,6922.627629821582
ATG10,168.34957115508408,80.26102070236726,242.4219952538282,86.9007637902531,180.37840604065184,207.92129085182614,142.35777585899075,117.82141185981132,261.33452857335067,125.79618211877778,182.655792708295,404.12044373102896,250.65928250967346,133.07261487188674,238.4046704411303,111.14240497356367,190.44456802179275,193.57306250573035,164.19708139302023,134.77529502433381,162.4481944461239,191.496799382158,233.39884386138237,203.5921986354969,148.81223164761894,85.28449166025277,174.904358070792,124.07322046259699,221.24347273788092,144.62766644462928
POC5,110.37488439969088,192.62644968568142,146.5807413162682,117.61568892301496,161.33846318080526,227.5204289239245,189.23167766621938,195.41112210895537,143.04626827172876,112.10408066367272,156.7165085367028,245.9211605635946,212.1567594909462,245.1337642376861,126.42671917332666,169.8443794314318,175.20900258004934,145.430539188243,169.2753416422889,163.34179777405674,161.39333604062958,166.62708517668295,137.390808797835,153.0656675872714,104.36182479183667,164.8194670288031,122.43305064955439,133.7526915625159,78.66434586235766,222.62910452712597
