library,Term,discovery_NES,discovery_pvalue,discovery_padj,validation_NES,validation_pvalue,validation_padj,testable,same_direction,discovery_significant,replicated
MSigDB_Hallmark_2020,G2-M Checkpoint,2.110879979957251,0.0,0.0,2.7704120143488784,0.0,0.0,True,True,True,True
MSigDB_Hallmark_2020,Glycolysis,1.7752729354459602,0.0,0.0032987747408105,2.034154704579443,0.0,7.657539875238131e-05,True,True,True,True
MSigDB_Hallmark_2020,Hedgehog Signaling,-0.939184387748602,0.5799721835883171,0.7235417333787486,1.2367152028370905,0.1830708661417323,0.12623338460998615,True,False,False,False
MSigDB_Hallmark_2020,Hypoxia,1.3236585053862622,0.0224719101123595,0.1157869934024505,1.8540877833789584,0.0,0.0004288222330133353,True,True,False,False
MSigDB_Hallmark_2020,IL-2/STAT5 Signaling,-1.269166997254946,0.0893246187363834,0.3153873017362251,2.156664469458535,0.0,0.0,True,False,False,False
MSigDB_Hallmark_2020,IL-6/JAK/STAT3 Signaling,-1.2371787405589412,0.1484662576687116,0.299588747634908,2.4180126541817284,0.0,0.0,True,False,False,False
MSigDB_Hallmark_2020,Inflammatory Response,-0.9433059796979189,0.5865490628445424,0.7466384063935314,2.6255214169065293,0.0,0.0,True,False,False,False
MSigDB_Hallmark_2020,Interferon Alpha Response,-0.9582028029847106,0.5563636363636364,0.7447264311738674,2.932301591348572,0.0,0.0,True,False,False,False
MSigDB_Hallmark_2020,Interferon Gamma Response,-1.4053242325814874,0.0216684723726977,0.1767978608622226,2.9429320646618575,0.0,0.0,True,False,False,False
MSigDB_Hallmark_2020,KRAS Signaling Dn,-1.6476588798452692,0.0059594755661501,0.0186079967475098,-1.4938064653030645,0.0,0.015730337078651686,True,True,True,True
MSigDB_Hallmark_2020,KRAS Signaling Up,-1.245135939094355,0.1171270718232044,0.341380119153727,1.943776139147323,0.0,0.00013922799773160235,True,False,False,False
MSigDB_Hallmark_2020,Mitotic Spindle,1.2947170138493695,0.05,0.1235541084739953,1.9181908334225957,0.0,0.00013317460652588053,True,True,False,False
MSigDB_Hallmark_2020,Myc Targets V1,2.3580906061911358,0.0,0.0,2.482128609148977,0.0,0.0,True,True,True,True
MSigDB_Hallmark_2020,Myc Targets V2,1.880004676336036,0.0,0.0013195098963242,2.350945333669841,0.0,0.0,True,True,True,True
MSigDB_Hallmark_2020,Myogenesis,-2.565398638456218,0.0,0.0,-1.3775551311615621,0.015283842794759825,0.041585948598734344,True,True,True,True
MSigDB_Hallmark_2020,Notch Signaling,0.7600505504632028,0.851985559566787,0.9294690543512408,0.776411887019952,0.8252427184466019,0.9483097381494902,True,True,False,False
MSigDB_Hallmark_2020,Oxidative Phosphorylation,-0.6283399571392327,0.9912087912087912,0.980039405169583,-1.5647290853720823,0.0,0.014593826682164536,True,True,False,False
MSigDB_Hallmark_2020,PI3K/AKT/mTOR  Signaling,-0.7486993874225447,0.888755980861244,0.9622439295470208,1.2630062358113867,0.08905380333951762,0.10562619065406596,True,False,False,False
MSigDB_Hallmark_2020,Pancreas Beta Cells,,,,0.6975710655419065,0.8929961089494164,0.9775876881700347,False,False,False,False
MSigDB_Hallmark_2020,Pperoxisome,-0.9802415370052728,0.531812725090036,0.7242013416522025,-0.8009569456394481,0.8696581196581197,0.898273709587154,True,True,False,False
MSigDB_Hallmark_2020,Protein Secretion,1.141965834491699,0.1603053435114503,0.2822808671065033,1.3256466854210467,0.0694980694980695,0.06796726772021706,True,True,False,False
MSigDB_Hallmark_2020,Reactive Oxygen Species Pathway,-0.858092560168092,0.6914749661705006,0.8597989085393505,-0.9046857412934594,0.6331967213114754,0.7827392483533515,True,True,False,False
MSigDB_Hallmark_2020,Spermatogenesis,0.8183492352228868,0.7864077669902912,0.9509152239694428,1.1365707545258323,0.23487544483985764,0.24114687001392765,True,True,False,False
MSigDB_Hallmark_2020,TGF-beta Signaling,1.2472917679192048,0.1047619047619047,0.1597156770342444,2.23684872061899,0.0,0.0,True,True,False,False
MSigDB_Hallmark_2020,TNF-alpha Signaling via NF-kB,-0.8283705234659736,0.8121606948968513,0.8784725805694984,2.5281273477859543,0.0,0.0,True,False,False,False
MSigDB_Hallmark_2020,UV Response Dn,-1.5940674345486614,0.0022148394241417,0.0259417366421166,1.35595011711422,0.03220035778175313,0.056495627523979096,True,False,True,False
MSigDB_Hallmark_2020,UV Response Up,1.0296319637015034,0.3932584269662921,0.5348413446434181,1.8876983027236174,0.0,0.00025525132917460436,True,True,False,False
MSigDB_Hallmark_2020,Unfolded Protein Response,1.6496660067729043,0.008,0.0122525918944392,2.075874873803342,0.0,8.060568289724348e-05,True,True,True,True
MSigDB_Hallmark_2020,Wnt-beta Catenin Signaling,0.7977244669425397,0.8097165991902834,0.933718190386428,1.2117321782538273,0.20359281437125748,0.1467995438435357,True,True,False,False
MSigDB_Hallmark_2020,Xenobiotic Metabolism,-1.0606459720096837,0.3646532438478747,0.5765560090277452,0.9953293010122213,0.4329159212880143,0.5092884898644863,True,False,False,False
MSigDB_Hallmark_2020,heme Metabolism,0.9745651262733248,0.5466666666666666,0.6345290236735599,0.8707461217373609,0.8033707865168539,0.799761318456922,True,True,False,False
MSigDB_Hallmark_2020,mTORC1 Signaling,2.1685428396491933,0.0,0.0,2.3595451579065037,0.0,0.0,True,True,True,True
MSigDB_Hallmark_2020,p53 Pathway,0.9596055984723962,0.6349206349206349,0.6478427060425176,1.2686494295159234,0.055248618784530384,0.10369791095564411,True,True,False,False
