gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,pvalue_model,model_converged,test_status,refseq,exons,direction
GNG11,150.8656557758052,-2.3177059818990506,0.5515616278842986,-4.202079812530463,2.6447384888714747e-05,0.0004944060954463294,2.6447384888714747e-05,True,tested,NM_004126,2,down
CAPN5,195.1153327879073,-1.9308546907563129,0.4601425002427737,-4.196210282113874,2.7141826544968306e-05,0.0005055887051089308,2.7141826544968306e-05,True,tested,NM_004055,13,down
CYSLTR1,57.88991199801304,-3.823339019274824,0.9120192118410634,-4.19216938594613,2.7629957052011432e-05,0.0005137704934308532,2.7629957052011432e-05,True,tested,NM_006639,3,down
SLCO2B1,635.5884396879416,-1.8077064590337395,0.4317524204004415,-4.186905211456902,2.8278385244961223e-05,0.0005239730430045196,2.8278385244961223e-05,True,tested,NM_007256,14,down
COL4A4,145.008325196387,-2.506579318046097,0.5986476996824392,-4.1870691549900645,2.8257974628767066e-05,0.0005239730430045196,2.8257974628767066e-05,True,tested,NM_000092,48,down
SCNN1B,177.25404648596177,-2.949892025508977,0.7060826861060716,-4.177828013001055,2.9430605699703214e-05,0.0005443625765512006,2.9430605699703214e-05,True,tested,NM_000336,13,down
VCAM1,138.5443935605542,-2.2061689429338185,0.5282798442418873,-4.176136884608575,2.9650143838480374e-05,0.0005468606263762773,2.9650143838480374e-05,True,tested,NM_001078,9,down
MITF,141.595770795644,-2.058970207744834,0.4930500370299812,-4.175986316008801,2.966976556581744e-05,0.0005468606263762773,2.966976556581744e-05,True,tested,NM_006722,10,down
SHROOM3,410.49356420523304,-2.01108081248404,0.48175981966417436,-4.174446955509752,2.9871080580777933e-05,0.0005496069572358196,2.9871080580777933e-05,True,tested,NM_020859,11,down
BCL6B,142.22857526380946,-2.145371511019054,0.5144525692593516,-4.170202734350629,3.0432878687847346e-05,0.0005589647263890284,3.0432878687847346e-05,True,tested,NM_181844,9,down
TACR1,45.84102188364912,-3.7749604959412517,0.9069185919855811,-4.162402810241725,3.149161919577395e-05,0.0005774013111183266,3.149161919577395e-05,True,tested,NM_001058,5,down
GULP1,82.20116494143909,-2.5353465727122404,0.6096273363541554,-4.158846596143062,3.1985861239046895e-05,0.0005844234055259594,3.1985861239046895e-05,True,tested,NM_016315,12,down
EFEMP1,544.6387191941036,-2.007263048463196,0.4827715720739945,-4.157790484307022,3.2134053057686955e-05,0.000585095947008768,3.2134053057686955e-05,True,tested,NM_001039348,12,down
DMPK,794.3209623840416,-1.6701105919990742,0.4024373365705315,-4.149989179014381,3.324909926289154e-05,0.0006043512748372639,3.324909926289154e-05,True,tested,NM_001081560,15,down
MASP1,103.85299547013845,-2.792478163283383,0.6752010680590319,-4.135772728130875,3.537621839756212e-05,0.0006407975008358408,3.537621839756212e-05,True,tested,NM_139125,11,down
KDR,529.2904393439808,-1.7590659125399968,0.4259658117113457,-4.129594122760308,3.634042077854577e-05,0.0006571298807218621,3.634042077854577e-05,True,tested,NM_002253,30,down
ABLIM2,472.4035990391978,-1.9806884803749576,0.48004790826196225,-4.126022520431639,3.690911408645174e-05,0.0006662665852100721,3.690911408645174e-05,True,tested,NM_001130083,21,down
FAM174B,75.67905114742437,-2.4254852801966864,0.5882542083860967,-4.123192398148957,3.736573389812147e-05,0.0006733523161812422,3.736573389812147e-05,True,tested,NM_207446,3,down
RUNX1T1,120.49145698015856,-2.1855847641348713,0.5302324830456118,-4.12193676174091,3.7570034702753374e-05,0.0006758746311423407,3.7570034702753374e-05,True,tested,NM_004349,11,down
SMPX,492.8822235813072,-7.5264374279047725,1.8323227663670207,-4.1075936871250995,3.998026252683664e-05,0.0007180045095845226,3.998026252683664e-05,True,tested,NM_014332,5,down
NOPE,220.0988765611307,-1.9538007949234055,0.47613707208861483,-4.103441864656529,4.070487708959557e-05,0.0007297703732138072,4.070487708959557e-05,True,tested,NM_020962,20,down
GANC,509.9139993515884,-1.8039163555128424,0.4396649883192131,-4.102933832436828,4.079439455107533e-05,0.0007301293171270826,4.079439455107533e-05,True,tested,NM_212467,28,down
PPAP2B,671.7580937016039,-1.7948066163188277,0.43798991877422583,-4.097826318335905,4.170480070274793e-05,0.000745154143168486,4.170480070274793e-05,True,tested,NM_177414,7,down
LRRC32,496.0984222879695,-1.7351723774362453,0.4240483434354377,-4.091921131866016,4.278141634007136e-05,0.0007630926316957381,4.278141634007136e-05,True,tested,NM_001128922,3,down
PPP1R16B,198.69535625936555,-2.0947602020755625,0.5123213972678446,-4.088761885110977,4.336817438743265e-05,0.0007722475256175719,4.336817438743265e-05,True,tested,NM_015568,11,down
