gene,in_library
C2orf60,False
C2orf63,False
C2orf67,False
C2orf68,False
C2orf69,False
C3,True
C3orf1,False
C3orf10,False
C3orf17,False
C3orf19,False
C3orf23,False
C3orf31,False
C3orf37,False
C3orf39,False
C3orf52,False
C3orf54,False
C3orf58,False
C3orf59,False
C3orf60,False
C3orf62,False
C3orf63,False
C3orf64,False
C4orf14,False
C4orf15,False
C4orf16,False
C4orf18,False
C4orf21,False
C4orf23,False
C4orf30,False
C4orf31,False
C4orf32,False
C4orf34,False
C4orf41,False
C4orf42,False
C4orf43,False
C4orf46,False
C4orf8,False
C5AR1,True
C5orf15,False
C5orf22,False
C5orf24,False
C5orf28,False
C5orf32,False
C5orf33,False
C5orf37,False
C5orf4,False
C5orf41,False
C5orf42,False
C5orf43,False
C5orf44,False
C5orf51,False
C6orf108,False
C6orf114,False
C6orf120,False
C6orf134,False
C6orf136,False
C6orf142,False
C6orf145,False
C6orf150,False
C6orf153,False
C6orf162,False
C6orf167,False
C6orf170,False
C6orf190,False
C6orf192,False
C6orf204,False
C6orf211,False
C6orf47,False
C6orf48,False
C6orf64,False
C6orf70,False
C6orf89,False
C7,False
C7orf20,False
C7orf25,False
C7orf26,False
C7orf27,False
C7orf29,False
C7orf41,False
C7orf42,False
C7orf43,False
C7orf44,False
C7orf49,False
C7orf50,False
C7orf54,False
C7orf58,False
C7orf59,False
C7orf60,False
C7orf64,False
C8orf33,False
C8orf38,False
C8orf4,False
C8orf40,False
C8orf44,False
C8orf55,False
C8orf58,False
C8orf59,False
C8orf73,False
C8orf76,False
C8orf79,False
C8orf83,False
C9orf102,False
C9orf114,False
C9orf123,False
C9orf125,False
C9orf127,False
C9orf140,False
C9orf156,False
C9orf16,False
C9orf167,False
C9orf23,False
C9orf25,False
C9orf3,False
C9orf30,False
C9orf37,False
C9orf40,False
C9orf41,False
C9orf5,False
C9orf6,False
C9orf61,False
C9orf69,False
C9orf7,False
C9orf72,False
C9orf75,False
C9orf78,False
C9orf80,False
C9orf82,False
C9orf86,False
C9orf89,False
C9orf91,False
C9orf95,False
C9orf97,False
CA11,False
CA12,True
CA13,False
CA2,True
CA3,False
CAB39,True
CAB39L,True
CABC1,False
CABIN1,False
CABLES1,False
CABLES2,False
CACHD1,False
CACNA1C,False
CACNA1H,True
CACNA1S,False
CACNA2D1,False
CACNA2D3,False
CACNB1,False
CACNB3,False
CACNB4,False
CACNG1,True
CACYBP,True
CAD,True
CADM1,True
CADM4,False
CADPS2,False
CALCOCO1,False
CALCOCO2,False
CALCRL,True
CALD1,True
CALHM2,False
CALM1,True
CALM2,False
CALM3,True
CALML3,False
CALML4,False
CALML5,True
CALR,True
CALU,True
CAMK1,False
CAMK1D,True
CAMK2A,False
CAMK2D,False
CAMK2G,False
CAMK2N1,False
CAMKK1,False
CAMKK2,True
CAMLG,False
CAMSAP1,False
CAMSAP1L1,False
CAMTA1,False
CAMTA2,False
CAND1,False
CAND2,False
CANT1,True
CANX,True
CAP1,True
CAP2,True
CAPG,True
CAPN1,False
CAPN10,False
CAPN12,False
CAPN2,True
CAPN3,True
CAPN5,True
CAPN6,False
CAPN7,False
CAPNS1,False
CAPRIN1,False
CAPRIN2,False
CAPS,False
CAPZA1,False
CAPZA2,False
CAPZB,True
CARD10,False
CARD14,False
CARD6,False
CARD8,False
CARHSP1,False
CARKD,False
CARM1,False
CARS,False
CARS2,False
CASC3,False
CASC4,False
CASC5,False
CASD1,False
CASK,False
CASKIN2,False
CASP1,True
CASP10,True
CASP2,True
CASP3,True
CASP4,True
CASP7,True
CASP8,True
CASP8AP2,True
CASQ1,True
CASQ2,True
CAST,True
CASZ1,False
CAT,True
CAV1,True
CAV2,True
CBARA1,False
CBFA2T2,False
CBFA2T3,True
CBFB,False
CBL,True
CBLB,True
CBLC,False
CBLL1,False
CBR1,True
CBR3,True
CBR4,True
CBS,True
CBX1,True
CBX2,False
CBX4,False
CBX5,True
CBX6,False
CBX7,False
CBY1,False
CC2D1A,False
CC2D1B,False
CC2D2A,False
CCAR1,False
CCBL2,False
CCDC102A,False
CCDC102B,False
CCDC104,False
CCDC107,False
CCDC109A,False
CCDC111,False
CCDC115,False
CCDC117,False
CCDC120,False
CCDC123,False
CCDC124,False
CCDC125,False
CCDC132,False
CCDC134,False
CCDC137,False
CCDC138,False
CCDC14,False
CCDC141,False
CCDC142,False
CCDC146,False
CCDC15,False
CCDC18,False
CCDC21,False
CCDC22,False
CCDC25,False
CCDC3,False
CCDC41,False
CCDC43,False
CCDC45,False
CCDC46,False
CCDC47,False
CCDC49,False
CCDC50,False
CCDC51,False
CCDC52,False
CCDC55,False
CCDC57,False
CCDC6,False
CCDC61,False
CCDC64,False
CCDC64B,False
CCDC66,False
CCDC69,False
CCDC76,False
CCDC77,False
CCDC80,False
CCDC82,False
CCDC84,False
CCDC86,False
CCDC88A,True
CCDC88B,False
CCDC88C,False
CCDC9,False
CCDC90A,False
CCDC91,False
CCDC92,False
CCDC93,False
CCDC97,False
CCDC99,False
CCHCR1,False
CCL19,True
CCL2,True
CCL21,False
CCL22,True
CCM2,False
CCNA2,True
CCNB1,False
CCNB1IP1,False
CCNB2,True
CCNC,False
CCND1,True
CCND2,True
CCNDBP1,False
CCNE1,True
CCNF,True
CCNG1,True
CCNG2,True
CCNI,False
CCNJL,False
CCNK,True
CCNL1,True
CCNL2,False
CCNT1,True
CCNT2,False
CCNY,False
CCNYL1,False
CCPG1,False
CCR1,True
CCRN4L,False
CCT2,True
CCT3,True
CCT4,True
CCT5,True
CCT6A,True
CCT7,True
CCT8,False
CD109,False
CD14,True
CD151,True
CD163,False
CD163L1,False
CD164L2,False
CD248,False
CD276,True
CD2AP,True
CD2BP2,False
CD302,True
CD34,True
CD36,True
CD3EAP,False
CD4,True
CD40,True
CD44,True
CD46,True
CD47,True
CD53,False
CD55,True
CD58,False
CD59,True
CD63,True
CD68,False
CD74,True
CD81,True
CD82,True
CD83,True
CD9,True
CD93,False
CD97,False
CD99L2,False
CDAN1,False
CDC123,False
CDC14A,False
CDC14B,True
CDC16,False
CDC2,False
CDC20,True
CDC23,False
CDC25A,True
CDC25B,True
CDC27,True
CDC2L2,False
CDC2L5,False
CDC2L6,False
CDC34,True
CDC37,False
CDC40,False
CDC42,True
CDC42BPA,True
CDC42BPB,False
CDC42BPG,False
CDC42EP1,True
CDC42EP2,True
